project euler problem 66 outputs:

x = 1324, D = 159, y = 105
x = 1351, D = 12, y = 390
x = 1353, D = 677, y = 52
x = 1376, D = 935, y = 45
x = 1451, D = 174, y = 110
x = 1457, D = 182, y = 108
x = 1459, D = 730, y = 54
x = 1471, D = 690, y = 56
x = 1520, D = 31, y = 273
x = 1567, D = 87, y = 168
x = 1569, D = 785, y = 56
x = 1574, D = 91, y = 165
x = 1601, D = 178, y = 120
x = 1665, D = 221, y = 112
x = 1681, D = 210, y = 116
x = 1682, D = 187, y = 123
x = 1683, D = 842, y = 58
x = 1691, D = 470, y = 78
x = 1693, D = 658, y = 66
x = 1695, D = 371, y = 88
x = 1735, D = 651, y = 68
x = 1799, D = 899, y = 60
x = 1801, D = 901, y = 60
x = 1814, D = 555, y = 77
x = 1921, D = 15, y = 496
x = 1923, D = 962, y = 62
x = 1961, D = 545, y = 84
x = 2024, D = 7, y = 765
x = 2049, D = 41, y = 320
x = 2167, D = 813, y = 76
x = 2177, D = 17, y = 528
x = 2351, D = 282, y = 140
x = 2367, D = 518, y = 104
x = 2402, D = 267, y = 147
x = 2431, D = 285, y = 144
x = 2449, D = 34, y = 420
x = 2501, D = 278, y = 150
x = 2524, D = 303, y = 145
x = 2526, D = 707, y = 95
x = 2647, D = 993, y = 84
x = 2663, D = 407, y = 132
x = 2737, D = 38, y = 444
